Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2016/17,NY Rangers,F,"Puempel, Matt",Concussion,0.9,54.87804878,5,5
2016/17,NY Rangers,F,"Puempel, Matt",Concussion,0.9,76.82926829,7,7
2016/17,NY Rangers,D,"Staal, Marc",Concussion,5.7,625.6097561,9,9
2016/17,Ottawa,F,"Lazar, Curtis",Concussion,1.254167,45.88415854,3,3
2016/17,Ottawa,F,"MacArthur, Clarke",Concussion,4.65,4423.170732,78,78
2016/17,Philadelphia,D,"Manning, Brandon",Concussion,0.975,35.67073171,3,3
2016/17,Pittsburgh,F,"Crosby, Sidney",Concussion,8.7,636.5853659,6,6
2016/17,Pittsburgh,F,"Guentzel, Jake",Concussion,0.991667,48.374,4,4
2016/17,Pittsburgh,F,"Hagelin, Carl",Concussion,4,243.902439,5,5
2016/17,Pittsburgh,F,"Hornqvist, Patric",Concussion,4.25,259.1463415,5,5
2016/17,Pittsburgh,F,"Hornqvist, Patric",Concussion,4.25,310.9756098,6,6
2016/17,Pittsburgh,D,"Schultz, Justin",Concussion,1.4,51.2195122,3,3
2016/17,Vancouver,F,"Bartschi, Sven",Concussion,1.85,203.0487805,9,9
2016/17,Winnipeg,F,"Laine, Patrik",Concussion,3.575,348.7804878,8,8
2016/17,Winnipeg,D,"Enstrom, Tobias",Concussion,5.75,631.097561,9,9
2016/17 (playoffs),Anaheim,D,"Despres, Simon",Concussion,3.7,767.0731707,17,17
2016/17 (playoffs),Montreal,F,"Shaw, Andrew",Concussion,3.9,47.56097561,1,1
2016/17 (playoffs),Pittsburgh,F,"Crosby, Sidney",Concussion,8.7,106.097561,1,1
2016/17 (playoffs),Pittsburgh,F,"Sheary, Conor",Concussion,0.925,11.28048781,1,1
2016/17 (playoffs),Pittsburgh,D,"Ruhwedel, Chad",Concussion,0.575,21.03658537,3,3
2017/18,Anaheim,F,"Kase, Ondrej",Concussion,0.706667,86.17890244,10,10
2017/18,Anaheim,G,"Gibson, John",Concussion,2.3,28.04878049,1,1
2017/18,Boston,G,"Rask, Tuukka",Concussion,7,170.7317073,2,2
2017/18,Buffalo,F,"Okposo, Kyle",Concussion,6,219.5121951,3,3
2017/18,Buffalo,D,"Antipin, Victor",Concussion,1.775,86.58536585,4,4
2017/18,Carolina,F,"Aho, Sebastian",Concussion,1.775,86.58536585,4,4
2017/18,Carolina,D,"Hanifin, Noah",Concussion,1.775,64.93902439,3,3
2017/18,Carolina,D,"Pesce, Brett",Concussion,0.925,33.84146342,3,3
