season,name,team,position,games_played,corsi_percentage,fenwick_percentage,goals,points,penalty_minutes,hits,takeaways,giveaways,games_missed,points_per_game
2012,Raphael Diaz,MTL,D,23,0.51,0.54,1,14,6,11,6,17,25,0.61
2012,Simon Despres,PIT,D,33,0.53,0.53,2,7,20,48,4,16,0,0.21
2012,Jake Muzzin,L.A,D,45,0.68,0.66,7,16,25,70,7,23,0,0.36
2012,Travis Hamonic,NYI,D,48,0.45,0.46,3,10,28,59,34,46,0,0.21
2012,Daniel Briere,PHI,C,34,0.54,0.52,6,16,10,15,7,13,10,0.47
2013,David Perron,EDM,L,78,0.52,0.51,28,57,90,116,52,42,0,0.73
2013,Ryane Clowe,N.J,L,43,0.57,0.56,7,26,33,82,8,21,0,0.6
2013,T.J. Oshie,STL,R,79,0.56,0.56,21,60,42,77,62,21,0,0.76
2013,John Moore,NYR,D,74,0.55,0.55,4,15,25,59,4,27,0,0.2
2013,Roman Josi,NSH,D,72,0.49,0.51,13,40,18,32,22,34,10,0.56
2013,Andrew Shaw,CHI,C,80,0.63,0.62,20,39,66,168,25,18,0,0.49
2013,Jonathan Toews,CHI,C,76,0.61,0.6,28,68,24,29,51,30,0,0.89
2013,Jonathan Huberdeau,FLA,L,69,0.56,0.54,9,28,37,73,32,21,11,0.41
2013,Tyler Bozak,TOR,C,58,0.47,0.46,19,49,14,62,49,24,0,0.84
2013,Simon Despres,PIT,D,34,0.52,0.51,0,5,26,72,10,15,0,0.15
2013,Rene Bourque,MTL,R,63,0.48,0.49,9,16,32,90,13,9,0,0.25
2013,David Warsofsky,BOS,D,6,0.59,0.61,1,2,0,0,1,1,0,0.33
2013,John-Michael Liles,CAR,D,41,0.54,0.54,2,9,8,50,14,18,0,0.22
2013,Kyle Okposo,NYI,R,71,0.58,0.57,27,69,37,43,44,39,0,0.97
2013,Mark Borowiecki,OTT,D,13,0.44,0.42,1,1,38,41,0,5,0,0.08
2013,Tomas Kopecky,FLA,R,49,0.49,0.49,4,12,18,31,17,10,24,0.24
2013,Jack Hillen,WSH,D,13,0.4,0.39,0,1,4,10,0,11,0,0.08
2013,Kris Russell,CGY,D,68,0.49,0.51,7,29,15,42,25,39,0,0.43
2013,Alexander Semin,CAR,R,65,0.6,0.59,22,42,42,22,49,56,12,0.65
2013,Marcus Johansson,WSH,L,80,0.55,0.55,8,44,4,49,32,49,0,0.55
2013,Matt Calvert,CBJ,L,56,0.53,0.52,9,23,53,111,20,19,0,0.41
2013,Michael Bournival,MTL,L,60,0.43,0.45,7,14,18,67,15,10,14,0.23
2013,Ales Hemsky,OTT,R,75,0.53,0.53,13,43,24,37,44,42,0,0.57
2013,Patric Hornqvist,NSH,R,76,0.58,0.59,22,53,28,77,53,13,0,0.7
2013,Loui Eriksson,BOS,L,61,0.59,0.58,10,37,6,12,31,17,15,0.61
2013,Saku Koivu,ANA,C,65,0.43,0.43,11,29,46,29,25,34,15,0.45
2013,Travis Hamonic,NYI,D,69,0.47,0.47,3,18,48,93,40,51,12,0.26
2013,Trevor Lewis,L.A,C,73,0.47,0.47,6,11,6,145,14,18,0,0.15
2013,Ben Smith,CHI,R,75,0.48,0.5,14,26,2,40,22,12,0,0.35
2013,Matt Hunwick,COL,D,1,0.56,0.61,0,0,0,1,0,0,0,0.0
2013,Marc Staal,NYR,D,72,0.51,0.5,3,14,24,83,41,48,10,0.19
2013,Jordan Staal,CAR,C,82,0.55,0.54,15,40,34,194,51,41,0,0.49
2013,Nicklas Grossmann,PHI,D,78,0.43,0.43,1,14,55,189,4,44,0,0.18
2013,Sam Gagner,EDM,C,67,0.5,0.5,10,37,31,33,28,47,0,0.55
2013,Johan Franzen,DET,R,54,0.59,0.58,16,41,30,66,18,28,0,0.76
2013,Peter Holland,TOR,C,43,0.44,0.44,6,11,18,46,25,12,0,0.26
2013,Patrick Sharp,CHI,L,82,0.63,0.62,34,78,40,55,41,25,0,0.95
2013,Keith Ballard,MIN,D,45,0.46,0.46,2,9,37,58,7,18,0,0.2
2013,Mathieu Perreault,ANA,C,69,0.58,0.59,18,43,36,73,19,19,0,0.62
2013,Raphael Diaz,NYR,D,63,0.48,0.52,2,15,16,36,8,22,0,0.24
2013,Alec Martinez,L.A,D,61,0.61,0.61,11,22,14,96,5,27,0,0.36
2013,Daniel Briere,MTL,C,69,0.52,0.52,13,25,30,23,22,17,10,0.36
2013,George Parros,MTL,R,22,0.28,0.27,0,1,55,14,0,2,10,0.05
2013,George Parros,MTL,R,22,0.28,0.27,0,1,55,14,0,2,12,0.05
2013,Jakub Voracek,PHI,R,82,0.63,0.63,23,62,22,19,33,30,0,0.76
2013,Jake Muzzin,L.A,D,76,0.64,0.63,5,24,58,169,14,57,0,0.32
2013,Teuvo Teravainen,CHI,L,3,0.56,0.56,0,0,0,1,4,1,0,0.0
2013,Connor Murphy,ARI,D,30,0.47,0.47,1,8,10,44,13,13,0,0.27
2013,Radko Gudas,T.B,D,73,0.46,0.46,3,22,112,273,13,36,0,0.3
2013,Mark Barberio,T.B,D,49,0.52,0.53,5,10,28,28,10,27,0,0.2
2013,Clarke MacArthur,OTT,L,79,0.56,0.54,24,55,58,108,33,37,0,0.7
2013,Alexander Edler,VAN,D,63,0.55,0.54,7,22,50,112,28,34,0,0.35
2013,Brandon Pirri,FLA,R,49,0.56,0.55,13,25,8,24,16,7,0,0.51
2013,Vladimir Tarasenko,STL,R,64,0.6,0.59,21,43,16,22,32,20,0,0.67
2013,Tim Gleason,TOR,D,56,0.39,0.38,1,6,55,156,9,26,10,0.11
2013,Justin Falk,NYR,D,21,0.43,0.42,0,2,20,39,0,9,0,0.1
2013,Sami Vatanen,ANA,D,48,0.58,0.58,6,21,22,66,15,22,0,0.44
