,pkey,Season,Player,Team,Position,Games_Missed
343,2022Ondrej Kase,2022,Ondrej Kase,CAR,F,62
344,2022Reese Johnson,2022,Reese Johnson,CHI,F,9
345,2022Kurtis MacDermid,2022,Kurtis MacDermid,COL,D,4
346,2022Cale Makar,2022,Cale Makar,COL,D,5
347,2022Jakub Voracek,2022,Jakub Voracek,CBJ,F,50
348,2022Patric Hornqvist,2022,Patric Hornqvist,FLA,F,40
349,2022Chris Tierney,2022,Chris Tierney,FLA,F,8
350,2022Radko Gudas,2022,Radko Gudas,FLA,D,10
351,2022Thomas Chabot,2022,Thomas Chabot,OTT,D,5
352,2022Radim simek,2022,Radim simek,S.J,D,3
353,2022William Lockwood,2022,William Lockwood,VAN,F,9
354,2022Travis Dermott,2022,Travis Dermott,VAN,D,34
355,2022Nate Schmidt,2022,Nate Schmidt,WPG,D,9
