"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
3838,"2016Clarke MacArthur",2016,"Clarke MacArthur","OTT","L",4,0,0,0,4,1,1,0.61,0.61,78
3847,"2016Jake Guentzel",2016,"Jake Guentzel","PIT","C",40,16,33,10,61,16,9,0.54,0.55,4
3856,"2016Aaron Ekblad",2016,"Aaron Ekblad","FLA","D",67,9,20,58,87,25,58,0.57,0.56,4
3863,"2016Kevan Miller",2016,"Kevan Miller","BOS","D",57,3,13,45,118,7,20,0.5,0.51,4
3883,"2016Jakob Chychrun",2016,"Jakob Chychrun","ARI","D",67,7,20,37,109,11,44,0.44,0.43,1
3898,"2016Brandon Manning",2016,"Brandon Manning","PHI","D",65,3,12,83,121,9,38,0.49,0.48,3
3940,"2016Andrew Shaw",2016,"Andrew Shaw","MTL","R",68,12,29,80,147,28,29,0.58,0.57,1
3940,"2016Andrew Shaw",2016,"Andrew Shaw","MTL","R",68,12,29,80,147,28,29,0.58,0.57,14
4019,"2016Seth Griffith",2016,"Seth Griffith","FLA","C",24,0,5,8,30,5,6,0.58,0.57,4
4052,"2016Denis Malgin",2016,"Denis Malgin","FLA","C",46,6,10,8,34,17,11,0.54,0.55,9
4104,"2016Marc Staal",2016,"Marc Staal","NYR","D",71,3,9,34,88,22,46,0.44,0.44,9
4152,"2016Justin Schultz",2016,"Justin Schultz","PIT","D",78,12,51,34,67,22,37,0.56,0.58,3
4160,"2016Chad Ruhwedel",2016,"Chad Ruhwedel","PIT","D",34,2,10,8,36,9,12,0.48,0.49,3
4205,"2016Pavel Zacha",2016,"Pavel Zacha","N.J","C",70,8,24,19,54,16,26,0.51,0.51,4
4219,"2016David Backes",2016,"David Backes","BOS","R",74,17,38,59,226,28,35,0.6,0.6,3
4261,"2016Ryan Spooner",2016,"Ryan Spooner","BOS","C",78,11,39,14,24,36,50,0.61,0.62,3
4268,"2016Patric Hornqvist",2016,"Patric Hornqvist","PIT","R",70,21,44,28,227,30,11,0.6,0.62,6
4268,"2016Patric Hornqvist",2016,"Patric Hornqvist","PIT","R",70,21,44,28,227,30,11,0.6,0.62,5
4279,"2016Curtis Lazar",2016,"Curtis Lazar","CGY","C",37,1,4,4,66,7,6,0.4,0.41,3
4328,"2016Patrik Laine",2016,"Patrik Laine","WPG","R",73,36,64,26,80,43,55,0.55,0.55,8
4423,"2017Phillip Danault",2017,"Phillip Danault","MTL","C",52,8,25,34,59,38,20,0.5,0.5,15
4440,"2017Pavel Buchnevich",2017,"Pavel Buchnevich","NYR","R",74,14,43,20,51,39,43,0.56,0.55,7
4498,"2017Sammy Blais",2017,"Sammy Blais","STL","L",11,1,3,6,15,1,5,0.5,0.53,1
4504,"2017Jacob Trouba",2017,"Jacob Trouba","WPG","D",55,3,24,34,84,28,54,0.48,0.49,5
4511,"2017Bryan Rust",2017,"Bryan Rust","PIT","R",69,13,38,26,97,31,32,0.53,0.54,2
